date,vt_return,vt050_return,notes
# 說明：
# date         = 年月，格式 YYYY-MM
# vt_return    = VT 月報酬率（%）
#                1998-01~2008-06：VTSMX 58% + VGTSX 42% 代理
#                2008-07 起：VT Adj Close 實際（Yahoo Finance）
# vt050_return = 台股加權指數（^TWII）月報酬率（%），不含息
# notes        = 備註
#
1998-01,3.3647,-1.2434,
1998-02,7.1503,13.816,
1998-03,4.0373,-1.2105,
1998-04,1.102,-8.6562,
1998-05,-2.2054,-4.8273,
1998-06,1.803,-4.4858,
1998-07,-0.7318,1.387,
1998-08,-14.8172,-14.4169,
1998-09,2.8461,4.3334,
1998-10,9.0422,3.9144,
1998-11,5.8212,1.0668,
1998-12,3.7469,-10.5722,
1999-01,3.1975,-6.7685,
1999-02,-3.0698,5.5902,
1999-03,3.869,8.9135,
1999-04,5.3498,7.1123,
1999-05,-3.2602,-0.7407,
1999-06,4.6486,15.7287,
1999-07,-0.7264,-12.4508,
1999-08,-0.3948,10.0446,
1999-09,-1.2297,-6.8517,
1999-10,5.3701,1.4197,
1999-11,3.7162,0.1843,
1999-12,7.1516,9.4286,
2000-01,-3.9766,15.34,
2000-02,2.6653,-3.1704,
2000-03,4.4132,4.4406,網路泡沫高峰
2000-04,-4.9771,-10.4576,
2000-05,-3.0986,1.305,
2000-06,4.2084,-7.5444,
2000-07,-2.8675,-1.8169,
2000-08,4.6408,-6.1361,
2000-09,-4.9612,-15.5524,
2000-10,-2.3035,-13.808,
2000-11,-7.6107,-5.1811,
2000-12,1.4575,-9.7584,
2001-01,3.8183,25.1323,
2001-02,-8.6558,-4.4053,
2001-03,-7.0492,2.1716,
2001-04,8.2204,-7.1793,
2001-05,-0.8932,-6.1842,
2001-06,-2.6906,-3.2766,
2001-07,-1.8868,-10.8622,
2001-08,-4.4467,3.5943,
2001-09,-9.9021,-19.3483,
2001-10,2.9109,7.329,
2001-11,5.9208,13.7731,
2001-12,0.6424,24.9964,
2002-01,-1.7397,5.7807,
2002-02,-0.8068,-2.9977,
2002-03,4.7745,8.2751,
2002-04,-2.5155,-1.6496,
2002-05,-0.2186,-6.4309,
2002-06,-6.0354,-9.1961,
2002-07,-8.6293,-4.1393,
2002-08,0.2566,-3.5511,
2002-09,-10.6014,-12.0281,
2002-10,7.0526,9.2402,網路泡沫底部（台股）
2002-11,5.3055,1.4752,
2002-12,-5.3368,-4.1802,
2003-01,-1.9676,12.6382,
2003-02,-1.7467,-11.6188,
2003-03,-0.1457,-2.5097,
2003-04,9.0589,-4.007,
2003-05,6.1266,9.8318,
2003-06,1.7679,6.9415,
2003-07,2.8827,9.158,
2003-08,2.4393,6.2518,
2003-09,0.3067,-0.6976,
2003-10,6.4846,7.7291,
2003-11,1.6967,-4.5218,
2003-12,4.8108,2.0604,
2004-01,2.9941,8.2281,
2004-02,1.8786,5.8845,
2004-03,-0.6067,-3.3827,
2004-04,-2.3707,-6.2001,
2004-05,0.975,-2.2879,
2004-06,2.0201,-2.3152,
2004-07,-3.4169,-7.1731,
2004-08,0.4932,6.3641,
2004-09,2.0508,1.3901,
2004-10,2.5356,-2.3908,
2004-11,5.753,2.4331,
2004-12,2.7124,5.0461,
2005-01,-1.0477,-2.3692,
2005-02,3.1675,3.5634,
2005-03,-2.4482,-3.2532,
2005-04,-2.0111,-3.1271,
2005-05,2.22,3.3257,
2005-06,0.8309,3.8323,
2005-07,4.1165,1.1221,
2005-08,0.6713,-4.4124,
2005-09,2.202,1.4111,
2005-10,-2.2406,-5.7907,
2005-11,3.4239,7.6188,
2005-12,1.0618,5.5593,
2006-01,6.1334,-0.2468,
2006-02,-0.303,0.4508,
2006-03,2.1535,0.7977,
2006-04,3.019,8.4337,
2006-05,-3.7435,-4.5291,
2006-06,-0.2924,-2.0818,
2006-07,0.6399,-3.7263,
2006-08,2.404,2.4353,
2006-09,1.1931,4.103,
2006-10,3.9561,2.0089,
2006-11,2.8612,7.782,
2006-12,0.7122,3.3828,
2007-01,2.7396,-1.5859,
2007-02,-0.9117,2.6276,
2007-03,1.5838,-0.2221,
2007-04,4.2174,-0.114,
2007-05,3.4386,3.4224,
2007-06,-0.9159,9.064,
2007-07,-2.2259,4.5484,
2007-08,0.5418,-3.285,
2007-09,4.5198,4.7849,
2007-10,3.7942,3.1813,
2007-11,-4.5213,-11.5841,
2007-12,-2.6593,-0.9331,
2008-01,-5.8276,-11.5814,
2008-02,-1.6429,11.855,
2008-03,-0.8938,1.8999,
2008-04,5.6467,4.0516,
2008-05,1.8485,-3.3727,
2008-06,-8.7669,-12.7106,
2008-07,-2.6847,-6.6389,
2008-08,-1.8461,0.3139,
2008-09,-9.1082,-18.8307,雷曼倒閉
2008-10,-21.4369,-14.8379,金融海嘯高峰
2008-11,-6.8067,-8.4212,
2008-12,5.4114,2.9308,
2009-01,-10.8551,-7.4762,
2009-02,-9.5238,7.2783,
2009-03,8.8346,14.3443,金融海嘯市場底部
2009-04,12.0553,15.002,
2009-05,10.6042,14.9831,
2009-06,-1.728,-6.651,
2009-07,10.1248,10.0363,
2009-08,2.6783,-3.5571,
2009-09,5.2421,10.0092,
2009-10,-2.5262,-2.2518,
2009-11,5.33,3.2987,
2009-12,1.5611,7.9911,
2010-01,-5.1056,-6.6886,
2010-02,2.0788,-2.6745,
2010-03,6.6603,6.5082,
2010-04,-0.4492,1.063,
2010-05,-9.8827,-7.8742,
2010-06,-2.8042,-0.605,
2010-07,9.1963,5.884,
2010-08,-3.9868,-1.86,
2010-09,10.0491,8.1601,
2010-10,3.7955,0.5986,
2010-11,-2.6457,1.0304,
2010-12,7.6608,7.1666,
2011-01,1.4017,1.9264,
2011-02,2.9296,-5.967,
2011-03,-0.0602,0.9727,
2011-04,4.3522,3.7379,
2011-05,-2.2679,-0.2113,
2011-06,-1.3372,-3.7408,
2011-07,-2.1527,-0.0972,
2011-08,-7.252,-10.4442,
2011-09,-10.7182,-6.6652,
2011-10,11.2669,5.0144,
2011-11,-1.2381,-9.0089,
2011-12,-1.0279,2.4328,
2012-01,5.4655,6.2923,
2012-02,4.765,8.0398,
2012-03,1.1738,-2.3203,
2012-04,-1.1809,-5.4365,
2012-05,-8.9308,-2.669,
2012-06,5.1335,-0.0715,
2012-07,0.7225,-0.3535,
2012-08,2.4783,1.7409,
2012-09,3.1075,4.3004,
2012-10,-0.6038,-7.1173,
2012-11,1.5291,5.7789,
2012-12,3.108,1.5742,
2013-01,4.0064,1.9549,
2013-02,-0.3113,0.6109,
2013-03,2.3533,0.2612,
2013-04,2.6779,2.2106,
2013-05,-0.5588,1.9909,
2013-06,-2.6714,-2.333,
2013-07,5.164,0.5672,
2013-08,-2.4552,-1.0613,
2013-09,5.5876,1.8946,
2013-10,3.7083,3.3789,
2013-11,1.5449,-0.5116,
2013-12,2.1967,2.4347,
2014-01,-4.4445,-1.7295,
2014-02,5.215,2.0917,
2014-03,0.4866,2.4272,
2014-04,0.7374,-0.6536,
2014-05,2.0463,3.2358,
2014-06,2.2065,3.4945,
2014-07,-1.7516,-0.8221,
2014-08,2.6496,1.2926,
2014-09,-3.3359,-4.9739,
2014-10,0.944,0.0874,
2014-11,1.2633,2.3665,
2014-12,-1.9819,1.3074,
2015-01,-1.6301,0.5872,
2015-02,5.952,2.7792,
2015-03,-1.2138,-0.3706,
2015-04,2.5491,2.4369,
2015-05,0.3325,-1.2116,
2015-06,-2.2203,-3.897,
2015-07,0.5039,-7.0544,
2015-08,-6.6311,-5.6596,
2015-09,-3.7109,0.0773,
2015-10,7.2862,4.56,
2015-11,-0.0842,-2.732,
2015-12,-2.184,0.2097,
2016-01,-5.866,-3.0877,
2016-02,-1.1062,4.0909,
2016-03,7.9725,3.967,
2016-04,1.0054,-4.196,
2016-05,0.6521,1.8822,
2016-06,-0.1852,1.5347,
2016-07,4.1502,3.6673,
2016-08,0.3472,0.9399,
2016-09,0.7786,1.0806,
2016-10,-1.9721,1.3447,
2016-11,1.1903,-0.5318,
2016-12,1.8138,0.1385,
2017-01,3.0,2.1014,
2017-02,2.6898,3.202,
2017-03,1.4765,0.6261,
2017-04,1.6253,0.6164,
2017-05,1.9463,1.7091,
2017-06,0.6312,3.5291,
2017-07,2.6506,0.3103,
2017-08,0.4184,1.5196,
2017-09,2.1076,-2.4168,
2017-10,2.1069,4.4904,
2017-11,1.8973,-2.162,
2017-12,1.5945,0.7805,
2018-01,5.4807,4.3309,
2018-02,-4.4427,-2.5966,
2018-03,-1.279,0.8391,
2018-04,0.421,-2.277,
2018-05,0.568,2.0368,
2018-06,-0.5953,-0.3499,
2018-07,2.8758,2.0356,
2018-08,0.8612,0.0582,
2018-09,0.0792,-0.5206,
2018-10,-7.8201,-10.9411,
2018-11,1.731,0.8763,
2018-12,-7.2367,-1.6244,
2019-01,7.9896,2.1059,
2019-02,2.8151,4.6003,
2019-03,1.0647,2.4244,
2019-04,3.4713,3.0701,
2019-05,-5.9702,-4.2784,
2019-06,6.3701,2.2131,
2019-07,0.0,0.8665,
2019-08,-2.1022,-1.901,
2019-09,2.2725,1.9931,
2019-10,2.7934,4.885,
2019-11,2.5614,1.1521,
2019-12,3.4527,4.4177,
2020-01,-1.5557,-4.1847,
2020-02,-7.2244,-1.7654,
2020-03,-14.7645,-14.0284,COVID-19 崩盤
2020-04,10.3663,13.2269,COVID-19 反彈
2020-05,5.2085,-0.4547,
2020-06,3.0712,6.2061,
2020-07,5.2941,8.9798,
2020-08,6.0055,-0.5792,
2020-09,-2.9315,-0.6023,
2020-10,-2.0461,0.2455,
2020-11,12.3686,9.3776,
2020-12,4.9316,7.3573,
2021-01,-0.2269,2.7543,
2021-02,2.674,5.3869,
2021-03,2.8509,2.992,
2021-04,4.132,6.9108,
2021-05,1.5793,-2.8362,
2021-06,1.182,4.0252,
2021-07,0.6177,-2.8614,
2021-08,2.2638,1.4082,
2021-09,-4.1078,-3.1762,
2021-10,5.1458,0.3108,
2021-11,-2.6151,2.5922,
2021-12,3.8059,4.5392,
2022-01,-4.5797,-2.9883,升息循環開始
2022-02,-2.7705,-0.1257,
2022-03,1.8855,0.2339,
2022-04,-8.0956,-6.2243,
2022-05,0.4942,1.2993,
2022-06,-8.1218,-11.7924,
2022-07,6.9838,1.1759,
2022-08,-4.0526,0.6358,
2022-09,-9.5289,-11.0686,
2022-10,6.3768,-3.537,
2022-11,8.2827,14.9022,
2022-12,-4.4374,-4.9858,
2023-01,7.6459,7.9752,
2023-02,-3.1796,1.563,
2023-03,2.8502,2.3496,
2023-04,1.4225,-1.8205,
2023-05,-1.2099,6.4174,
2023-06,5.8079,2.0302,
2023-07,3.7224,1.359,
2023-08,-2.8432,-2.9799,
2023-09,-4.2548,-1.6879,
2023-10,-2.9191,-2.1553,
2023-11,9.0095,8.9529,
2023-12,5.1575,2.8506,
2024-01,0.0,-0.2301,
2024-02,4.4907,6.0214,
2024-03,3.1891,7.0,
2024-04,-3.5837,0.5033,
2024-05,4.5992,3.8125,
2024-06,1.586,8.775,
2024-07,1.9799,-3.6162,
2024-08,2.3333,0.3096,
2024-09,2.1965,-0.1956,
2024-10,-2.1805,2.6812,
2024-11,4.1421,-2.4449,
2024-12,-2.9364,3.4704,
2025-01,3.0558,2.1285,
2025-02,-0.413,-2.0073,
2025-03,-3.5177,-10.2254,
2025-04,0.5606,-2.2269,
2025-05,5.8062,5.4968,
2025-06,4.6732,4.2568,
2025-07,1.0971,5.7805,
2025-08,2.9554,2.9333,
2025-09,3.3713,6.5507,
2025-10,2.0247,9.3445,
2025-11,0.2134,-2.1495,
2025-12,0.9219,4.84,
2026-01,3.1122,10.7036,
2026-02,1.6432,10.4502,
2026-03,-6.2196,-10.4237,
2026-04,9.3117,22.7079,
2026-05,1.9874,2.8109,
